Back to Contents;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Table 25; CPI Weights: 2006 to 2018;;;;;;;;;;;;;;;;
; parts per 1000;;;;;;;;;;;;;;;;
;2015=100;;;;;;;;;;;;;;;;
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;L8AF;05.2.0.3 Table linen and bathroom linen; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,19;1,19;1,36;1,19;1,19;1,19
;;;;;;;;;;;;;;;;;
;CJVI;05.3 Household appliances, fitting and repairs ;9;8;9;9;9;9;9;9;9;8;8;8;8;9;9
;CJXI;05.3.1/2 Major appliances and small electric goods;8;7;8;8;8;8;8;8;8;7;7;7;7;8;8
;L8AG;05.3.1.1 Refrigerators, freezers and fridge-freezers; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,12;0,91;0,98;0,98;0,80;0,80
;L8AH;05.3.1.2 Clothes washing machines, clothes drying machines and dish washing machines; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,89;1,68;1,68;1,68;1,84;1,84
;L8AI;05.3.1.3 Cookers; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,98;0,84;0,91;0,91;1,28;1,28
;L8AJ;05.3.1.4 Heaters, air conditioners; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,47;1,47;1,40;1,40;1,04;1,04
;L8AK;05.3.1.5 Cleaning equipment; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,70;1,12;1,05;1,05;1,84;1,84
;L8AL;05.3.2.2 Coffee machines, tea makers and similar appliances; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,42;0,56;0,56;0,56;0,72;0,72
;L8AN;05.3.2.3 Irons; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,21;0,21;0,21;0,21;0,24;0,24
;L8AO;05.3.2.9 Other small electric household appliances; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,21;0,21;0,21;0,21;0,24;0,24
;CJXJ;05.3.3 Repair of household appliances;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;
;CJVJ;05.4 Glassware, tableware and household utensils;7;7;7;5;6;5;5;5;6;6;6;6;6;5;5
;L8AQ;05.4.0.1 Glassware, crystal-ware, ceramic ware and chinaware; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,10;2,10;2,10;2,10;1,75;1,75
;L8AR;05.4.0.2 Cutlery, flatware and silverware; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,30;0,30;0,30;0,30;0,25;0,25
;L8AS;05.4.0.3 Non electric kitchen utensils and articles; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,60;3,60;3,60;3,60;3,00;3,00
;;;;;;;;;;;;;;;;;
;CJVK;05.5 Tools and equipment for house and garden;6;6;5;6;7;6;5;4;4;5;5;5;5;5;5
;L8AV;05.5.1.1 Motorized major tools and equipment; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,78;0,78;0,65;0,65;0,95;0,95
;L8AW;05.5.1.2 Repair, leasing and rental of major tools and equipment; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,24;0,24;0,20;0,20;0,30;0,30
;L8AX;05.5.2.1 Non-motorized small tools; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,08;1,08;0,90;0,90;0,80;0,80
;L8AY;05.5.2.2 Miscellaneous small tool accessories; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,90;3,90;3,25;3,25;2,95;2,95
;;;;;;;;;;;;;;;;;
;CJVL;05.6 Goods and services for routine maintenance;11;11;10;11;9;10;15;13;13;13;13;13;13;13;13
;CJXK;05.6.1 Non-durable household goods;5;5;5;6;5;6;6;5;5;5;5;5;5;5;5
;L8AZ;05.6.1.1 Cleaning and maintanance products; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,80;3,80;3,80;3,80;3,80;3,80
;L8B2;05.6.1.2 Other non-durable small household articles; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,20;1,20;1,20;1,20;1,20;1,20
;CJXL;05.6.2 Domestic services and household services;6;6;5;5;4;4;9;8;8;8;8;8;8;8;8
;L8B3;05.6.2.1 Domestic services by paid staff; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,24;5,28;5,28;5,28;6,32;6,32
;L8B4;05.6.2.9 Other domestic services and household services; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,76;2,72;2,72;2,72;1,68;1,68
;;;;;;;;;;;;;;;;;
;JKWO;06.1 Medical products, appliances and equipment;11;10;10;10;10;11;10;10;10;12;13;12;12;10;10
;CJYA;06.1.1 Pharmaceutical products;5;5;5;6;6;6;6;6;6;7;8;7;7;6;6
;CJYH;06.1.2/3 Other medical and therapeutic equipment;6;5;5;4;4;5;4;4;4;5;5;5;5;4;4
;L8B8;06.1.2.1 Pregnancy tests and mechanical contraceptive devices     ; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,45;0,45;0,60;0,60;0,48;0,48
;L8B9;06.1.2.9 Other medical products n.e.c; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,55;0,55;0,65;0,65;0,52;0,52
;L8BA;06.1.3.1 Corrective eye-glasses and contact lenses ; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,00;4,00;3,75;3,75;3,00;3,00
;;;;;;;;;;;;;;;;;
;ICVJ;06.2 Out-patient services;4;5;4;4;4;4;5;6;6;5;7;6;6;8;8
;ICVK;06.2.1/3 Medical services & paramedical services;2;3;2;2;2;2;3;3;3;3;4;3;3;5;5
;ICVL;06.2.2 Dental services;2;2;2;2;2;2;2;3;3;2;3;3;3;3;3
;;;;;;;;;;;;;;;;;
;ICVM;06.3 Hospital services;9;9;8;8;8;9;9;9;8;8;8;7;8;6;7
;;;;;;;;;;;;;;;;;
;CJVM;07.1 Purchase of vehicles;52;49;48;47;49;44;43;38;44;40;43;47;48;47;49
;CJXN;07.1.1A New cars;31;27;26;26;23;25;24;21;23;24;25;26;27;27;28
;CJXO;07.1.1B Second-hand cars;18;19;19;18;23;16;16;14;18;14;16;18;18;17;18
;CJXP;07.1.2/3 Motorcycles and bicycles;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3
;L8BF;07.1.2.0 Motor cycles ; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,99;0,99;0,99;0,99;1,50;1,50
;L8BG;07.1.3.0 Bicycles; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,01;2,01;2,01;2,01;1,50;1,50
;;;;;;;;;;;;;;;;;
;CJVN;07.2 Operation of personal transport equipment ;71;72;72;69;79;81;89;81;76;77;73;76;77;72;73
;CJXQ;07.2.1 Spare parts and accessories;6;6;5;5;5;6;5;5;5;6;5;5;5;5;5
;L8BH;07.2.1.1 Tyres; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,85;0,85;0,85;0,85;0,85;0,85
;L8BI;07.2.1.2 Spare parts for personal transport; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,15;4,15;4,15;4,15;4,15;4,15
;CJXR;07.2.2 Fuels and lubricants;35;36;38;34;41;43;46;40;35;34;32;32;33;30;31
;L8BJ;07.2.2.1 Diesel; ..; ..; ..; ..; ..; ..; ..; ..; ..;11,52;10,24;11,52;11,88;10,80;11,16
;L8BK;07.2.2.2 Petrol; ..; ..; ..; ..; ..; ..; ..; ..; ..;24,12;21,44;20,16;20,79;18,90;19,53
;L8BL;07.2.2.4 Lubricants; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,36;0,32;0,32;0,33;0,30;0,31
;CJXS;07.2.3 Maintenance and repairs;24;24;23;23;25;24;22;22;23;23;22;25;25;24;24
;CJXT;07.2.4 Other services;6;6;6;7;8;8;16;14;13;14;14;14;14;13;13
;L8BO;07.2.4.1 Hire of garages, parking spaces and personal transport equipment; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,50;3,36;3,50;3,50;2,21;2,21
;L8BP;07.2.4.2 Toll facilities and parking meters; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,82;1,26;1,54;1,54;1,04;1,04
;L8BQ;07.2.4.3 Driving lessons, test licences and road worthiness tests; ..; ..; ..; ..; ..; ..; ..; ..; ..;8,68;9,38;8,96;8,96;9,75;9,75
;;;;;;;;;;;;;;;;;
;CJVO;07.3 Transport services;32;31;32;35;36;34;30;29;32;32;37;37;35;36;34
;CJXU;07.3.1 Passenger transport by railway;8;8;8;9;9;9;9;9;11;12;13;14;14;13;13
